BarCode,PCBIndex,Date,StartTime,EndTime,Recipe,Result,UserName,Lot,Machine,Comment,Lane,Stencil,Board Vendor Info,Print Direction,Print No,Cycle,,,,,,,,,,,
<,VEPARB13010016>,13281,2024-01-03,08:59:02,08:59:44,D:\02. Recipe\ASM-SPI\AMD SERVER\SPI-PRYSM-ZEN-2-PTH_BOT.7z,DEFECT,operator,2,PL0028,,1,StencilName,VendorName,REVERSE,PrintNo,42,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCBIndex,GOOD,WARNING,ERROR,,,,,,,,,,,,,,,,,,,,,,,,
13281,4108,647,23,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCBIndex,,Insufficient,Excessive,OffsetXY,Bridge,HeightHigh,HeightLow,AreaLarge,AreaSmall,ShapeError,CoplanarityAbsHeight,CoplanarityAvgHeight,CoplanarityVolume,CoplanarityXOffset,CoplanarityYOffset,OffsetX,OffsetY,,,,,,,,,,
13281,WARNING,457,18,0,0,1,7,8,156,0,0,0,0,0,0,0,0,,,,,,,,,,
,ERROR,19,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCBIndex,TYPE,MIN,MAX,AVG,,,,,,,,,,,,,,,,,,,,,,,
13281,OffsetX,-92.0946,251.908,-23.6129,,,,,,,,,,,,,,,,,,,,,,,
,OffsetY,-43.5125,237.602,60.4026,,,,,,,,,,,,,,,,,,,,,,,
,Volume,3.80735,174.016,102.334,,,,,,,,,,,,,,,,,,,,,,,
,Area,9.2248,207.482,94.5602,,,,,,,,,,,,,,,,,,,,,,,
,Height,42.0984,175.119,110.136,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCBIndex,Panel ID,Result,Operator Review,No. Of Defects,No. Of Pads,Panel Barcode,,,,,,,,,,,,,,,,,,,,,
13281,1,Defect,Pass,23,4778,VEPARB13010016,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCBIndex,Ref.Des.,Pad ID,Volume (%),Height (um),Area (%),Offset X (um),Offset Y (um),Group ID,Print Direction,Barcode,Bridge Error,Shape Error,Panel ID,Result,,,,,,,,,,,,,
13281,C1,9776,137,111,125,-31,90,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1,9777,131,119,112,-9,118,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C10,7618,106,114,94,-6,88,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C10,7619,106,110,98,-10,74,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1019,6910,56,100,56,-43,55,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,INSUFFICIENT_WARNING,,,,,,,,,,,,,
13281,C1019,6911,61,104,59,-39,35,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,INSUFFICIENT_WARNING,,,,,,,,,,,,,
13281,C1029,6908,62,102,62,-41,50,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,INSUFFICIENT_WARNING,,,,,,,,,,,,,
13281,C1029,6909,59,99,60,-34,31,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,INSUFFICIENT_WARNING,,,,,,,,,,,,,
13281,C1030,6904,58,96,62,-32,43,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,INSUFFICIENT_WARNING,,,,,,,,,,,,,
13281,C1030,6905,59,105,57,-33,39,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,INSUFFICIENT_WARNING,,,,,,,,,,,,,
13281,C1033,6898,60,100,60,-33,61,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,INSUFFICIENT_WARNING,,,,,,,,,,,,,
13281,C1033,6899,58,101,58,-29,33,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,INSUFFICIENT_WARNING,,,,,,,,,,,,,
13281,C1034,6896,66,96,70,-34,47,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,INSUFFICIENT_WARNING,,,,,,,,,,,,,
13281,C1034,6897,64,106,61,-34,32,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,INSUFFICIENT_WARNING,,,,,,,,,,,,,
13281,C1038,8292,67,47,143,25,87,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,INSUFFICIENT_WARNING,,,,,,,,,,,,,
13281,C1038,8293,52,48,111,155,180,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,INSUFFICIENT_WARNING,,,,,,,,,,,,,
13281,C1039,6754,64,97,67,-41,54,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,INSUFFICIENT_WARNING,,,,,,,,,,,,,
13281,C1039,6755,80,113,72,-50,33,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1044,6756,69,99,71,-51,35,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1044,6757,75,108,70,-49,11,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C108,5587,84,94,91,-49,18,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C108,5588,78,92,86,-36,24,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C109,5575,83,93,90,-52,26,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C109,5576,70,89,80,-35,17,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C11,9084,101,113,90,-23,97,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C11,9085,102,102,101,-48,97,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C112,7792,96,121,81,2,51,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C112,7793,111,94,121,16,41,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C114,9424,108,121,91,13,64,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C114,9425,107,127,86,-17,72,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C116,7760,99,95,106,26,68,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C116,7761,111,88,127,46,23,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C118,8604,116,95,124,-3,30,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C118,8605,97,105,93,-17,36,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C120,7054,84,104,82,-27,50,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C120,7055,88,105,85,-27,56,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1215,7192,82,105,80,-40,44,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1215,7193,85,120,72,-37,45,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1218,7078,102,94,110,-26,58,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1218,7079,86,113,77,-47,23,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1219,8584,82,108,77,-36,71,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
