Panel:ZEN-04-BOT
Revision:1
Serial Number:VEPARB34010007
Date:20240305033933
OP ID:TRI
AOI ID:AOI_POST
Line:AOI_POST
BR(481.765,7.433),TL(2.154,446.583)
-------------------------------------------------------------

Board:1
Serial Number:VEPARB34010007
Name	TargX	TargY	Model	Error Clasee	AOI	Reviewed
---------------------------------------------------------------------------------------------------------------------------------
C4352_1~W3	219138	305677	VEPL24706475	OK	FAIL	PASS
D4_1~W2	137079	297293	VEPL33514340	OK	FAIL	PASS
Q102_1~W6	134322	182501	VEPL83861060	OK	FAIL	PASS
Q104_1~W11	178121	232150	VEPL33511270	OK	FAIL	PASS
Q109_1~W10	191047	259441	VEPL83861060	OK	FAIL	PASS
Q109_1~W11	189167	259441	VEPL83861060	OK	FAIL	PASS
Q109_1~W12	189981	256605	VEPL83861060	OK	FAIL	PASS
Q109_1~W13	191006	258677	VEPL83861060	OK	FAIL	PASS
Q109_1~W14	189126	258677	VEPL83861060	OK	FAIL	PASS
Q109_1~W9	189939	255841	VEPL83861060	OK	FAIL	PASS
Q110_1~W6	34604	112690	VEPL83861060	OK	FAIL	PASS
Q111_1~W3	158339	265122	VEPL33511270	OK	FAIL	PASS
Q113_1~W10	222163	356215	VEPL83861060	OK	FAIL	PASS
Q113_1~W11	220283	356215	VEPL83861060	OK	FAIL	PASS
Q113_1~W12	221097	353379	VEPL83861060	OK	FAIL	PASS
Q113_1~W13	222122	355451	VEPL83861060	OK	FAIL	PASS
Q113_1~W14	220242	355451	VEPL83861060	OK	FAIL	PASS
Q113_1~W9	221055	352615	VEPL83861060	OK	FAIL	PASS
Q12_1~W2	204906	195693	VEPL33511270	OK	FAIL	PASS
Q124_1~W5	197020	191311	VEPL33511270	OK	FAIL	PASS
Q126_1~W11	178053	222487	VEPL33511270	OK	FAIL	PASS
Q126_1~W16	177844	221193	VEPL33511270	OK	FAIL	PASS
Q126_1~W17	177844	222487	VEPL33511270	OK	FAIL	PASS
Q126_1~W18	177844	221855	VEPL33511270	OK	FAIL	PASS
Q126_1~W19	180537	221211	VEPL33511270	OK	FAIL	PASS
Q126_1~W20	180537	222506	VEPL33511270	OK	FAIL	PASS
Q126_1~W21	180537	221874	VEPL33511270	OK	FAIL	PASS
Q126_1~W22	178194	221214	VEPL33511270	OK	FAIL	PASS
Q126_1~W23	178194	222508	VEPL33511270	OK	FAIL	PASS
Q126_1~W24	178194	221876	VEPL33511270	OK	FAIL	PASS
Q126_1~W25	180186	221190	VEPL33511270	OK	FAIL	PASS
Q126_1~W26	180186	222485	VEPL33511270	OK	FAIL	PASS
Q126_1~W27	180186	221853	VEPL33511270	OK	FAIL	PASS
Q127_1~W16	177871	225130	VEPL33511270	OK	FAIL	PASS
Q127_1~W17	177871	226424	VEPL33511270	OK	FAIL	PASS
Q127_1~W18	177871	225792	VEPL33511270	OK	FAIL	PASS
Q127_1~W19	180564	225148	VEPL33511270	OK	FAIL	PASS
Q127_1~W20	180564	226443	VEPL33511270	OK	FAIL	PASS
Q127_1~W21	180564	225811	VEPL33511270	OK	FAIL	PASS
Q127_1~W22	178221	225151	VEPL33511270	OK	FAIL	PASS
Q127_1~W23	178221	226445	VEPL33511270	OK	FAIL	PASS
Q127_1~W24	178221	225813	VEPL33511270	OK	FAIL	PASS
Q127_1~W25	180213	225127	VEPL33511270	OK	FAIL	PASS
Q127_1~W26	180213	226422	VEPL33511270	OK	FAIL	PASS
Q127_1~W27	180213	225790	VEPL33511270	OK	FAIL	PASS
Q127_1~W3	179505	225267	VEPL33511270	OK	FAIL	PASS
Q148_1~W16	177878	227922	VEPL33511270	OK	FAIL	PASS
Q148_1~W17	177878	229216	VEPL33511270	OK	FAIL	PASS
Q148_1~W18	177878	228584	VEPL33511270	OK	FAIL	PASS
Q148_1~W19	180571	227940	VEPL33511270	OK	FAIL	PASS
Q148_1~W20	180571	229235	VEPL33511270	OK	FAIL	PASS
Q148_1~W21	180571	228603	VEPL33511270	OK	FAIL	PASS
Q148_1~W22	178228	227943	VEPL33511270	OK	FAIL	PASS
Q148_1~W23	178228	229237	VEPL33511270	OK	FAIL	PASS
Q148_1~W24	178228	228605	VEPL33511270	OK	FAIL	PASS
Q148_1~W25	180220	227919	VEPL33511270	OK	FAIL	PASS
