Panel:ZEN-04-TOP
Revision:1
Serial Number:VEPARB34010007
Date:20240305062354
OP ID:TRI
AOI ID:AOI_POST
Line:AOI_POST
BR(466.750,-2.262),TL(-26.235,451.880)
-------------------------------------------------------------

Board:1
Serial Number:VEPARB34010007
Name	TargX	TargY	Model	Error Clasee	AOI	Reviewed
---------------------------------------------------------------------------------------------------------------------------------
C1317_1~W1	107168	133185	VEPL23540122	OK	FAIL	PASS
C2024_1~W2	130524	99785	VEPL23540122	OK	FAIL	PASS
C2024_1~W3	130527	98732	VEPL23540122	OK	FAIL	PASS
C2025_1~W2	129499	99809	VEPL23540122	OK	FAIL	PASS
C2025_1~W3	129502	98756	VEPL23540122	OK	FAIL	PASS
C2886_1~W3	205473	169583	VEPL23540122	OK	FAIL	PASS
C2887_1~W3	204561	169592	VEPL23540122	OK	FAIL	PASS
C2889_1~W3	207980	169599	VEPL23540122	OK	FAIL	PASS
C3060_1~W4	41669	307522	VEPL24440000	OK	FAIL	PASS
C3061_1~W1	35082	309744	VEPL23540122	OK	FAIL	PASS
C3084_1~W4	7308	338759	VEPL23687220	OK	FAIL	PASS
C3159_1~W3	153251	99659	VEPL22840250	OK	FAIL	PASS
C3160_1~W3	151229	99647	VEPL23539155	OK	FAIL	PASS
C3292_1~W1	50707	317049	VEPL23680005	OK	FAIL	PASS
C3292_1~W2	50150	317040	VEPL23680005	OK	FAIL	PASS
C3310_1~W1	53502	309808	VEPL22840250	OK	FAIL	PASS
C3359_1~W4	111669	199195	VEPL23545106	OK	FAIL	PASS
C3511_1~W3	177926	143144	VEPL23540122	OK	FAIL	PASS
C3518_1~W3	181614	136735	VEPL23540122	OK	FAIL	PASS
C4307_1~W3	202119	311300	VEPL218361617	OK	FAIL	PASS
C582_1~W2	40648	333568	VEPL21680002	OK	FAIL	PASS
C583_1~W2	41565	333568	VEPL21680002	OK	FAIL	PASS
C584_1~W2	42581	333568	VEPL21680002	OK	FAIL	PASS
C907_1~W4	430098	209863	VEPL23687220	OK	FAIL	PASS
C907_1~W5	435614	207659	VEPL23687220	OK	FAIL	PASS
C911_1~W2	436414	179752	VEPL23536471	OK	FAIL	PASS
C957_1~W4	189134	412296	VEPL23545106	OK	FAIL	PASS
D102_1~W4	169286	263979	VEPL33522213	OK	FAIL	PASS
D94_1~W4	157551	233489	VEPL33522213	OK	FAIL	PASS
D96_1~W4	157484	230262	VEPL33522213	OK	FAIL	PASS
J104_1~W10	201728	144862	VEPL73825008	OK	FAIL	PASS
J104_1~W12	201728	143609	VEPL73825008	OK	FAIL	PASS
J104_1~W13	201728	142341	VEPL73825008	OK	FAIL	PASS
J104_1~W14	207346	144836	VEPL73825008	OK	FAIL	PASS
J104_1~W15	207346	141032	VEPL73825008	OK	FAIL	PASS
J104_1~W16	207346	143568	VEPL73825008	OK	FAIL	PASS
J104_1~W17	207346	142300	VEPL73825008	OK	FAIL	PASS
J104_1~W18	201167	144872	VEPL73825008	OK	FAIL	PASS
J104_1~W19	201167	141083	VEPL73825008	OK	FAIL	PASS
J104_1~W2	201964	144864	VEPL73825008	OK	FAIL	PASS
J104_1~W20	201167	143619	VEPL73825008	OK	FAIL	PASS
J104_1~W21	201167	142351	VEPL73825008	OK	FAIL	PASS
J104_1~W22	207907	144825	VEPL73825008	OK	FAIL	PASS
J104_1~W23	207907	141021	VEPL73825008	OK	FAIL	PASS
